participantID,seq,exp,nSamples,medianVal,maxVal
12-9UN3,18,40,1904,188.3566007565,296.57658456452
12-9UN3,19,26,1905,183.321423961435,310.874137990511
12-9UN3,20,21,1904,197.658901658354,287.370655844368
12-9UN3,21,27,1904,179.831647301043,305.890694540798
12-9UN3,22,22,1905,193.65642430792,295.477608068271
12-9UN3,23,1,1905,184.047226409078,356.721627451996
12-9UN3,24,12,1907,179.320489888058,316.374172621599
12-9UN3,25,25,1905,182.902674455457,524.633893228259
12-9UN3,26,10,1904,196.957836702759,284.026665421242
12-9UN3,27,2,1907,202.0868022672,285.178158383625
12-9UN3,28,23,1905,166.836188723559,286.693779593479
12-9UN3,29,39,1904,189.025445624057,342.312716942166
12-9UN3,30,38,1905,182.498560735352,280.701852319553
12-9UN3,31,9,1904,171.08966033767,286.640164170067
12-9UN3,32,11,1904,171.001299644212,294.54097883309
12-9UN3,33,17,1904,188.544195238391,309.863543049418
12-9UN3,34,20,1906,179.343820327125,317.898641830856
12-9UN3,35,28,1905,179.339535805856,261.305362803035
12-9UN3,36,15,1905,174.732435644374,321.899778251235
12-9UN3,37,31,1907,170.623883353207,247.427599003216
12-9UN3,38,4,1905,172.696147021594,278.152083115815
13-9UOF,1,12,1906,150.524808588473,239.062424730641
13-9UOF,2,15,1907,162.907025911073,288.046336764698
13-9UOF,3,19,1906,163.773931174168,322.602308282306
13-9UOF,4,10,1905,163.37389816025,267.629452912978
13-9UOF,5,32,1905,157.297803634663,226.84279140256
13-9UOF,6,18,1906,156.833158844696,266.262334391543
13-9UOF,7,23,1905,50.3610953794593,407.899757356643
13-9UOF,8,13,1906,160.733201185641,353.417251876974
13-9UOF,9,6,1904,146.444477951277,263.789018285345
13-9UOF,10,37,1905,139.197859967029,287.056512455259
13-9UOF,11,40,1905,161.412635740208,273.26810260021
13-9UOF,12,39,1907,172.656917114624,304.699780209196
13-9UOF,13,29,1905,155.05141249321,244.88377862
13-9UOF,14,2,1905,165.583362680937,245.032970906848
13-9UOF,15,30,1906,176.666178193227,297.496664034193
13-9UOF,16,36,1904,160.905229663085,237.495952480109
13-9UOF,17,7,1904,154.683834712326,235.44954293284
13-9UOF,18,20,1905,161.79764274314,299.116026879675
13-9UOF,19,31,1907,180.27221544925,259.679728354508
