participantID,seq,exp,nSamples,medianVal,maxVal
11-9UIZ,38,18,500,22.0808335928394,26.9954597905849
12-9UN3,1,8,500,21.4929524889238,25.0576058510266
12-9UN3,2,36,500,21.6998672534734,25.6902579786658
12-9UN3,3,19,500,20.6500785140949,25.1392564847415
12-9UN3,4,29,500,21.9320921727334,28.4672691215893
12-9UN3,5,14,500,21.6447081851792,25.5547352850165
12-9UN3,6,7,500,22.2285530165937,55.6338956410342
12-9UN3,7,34,500,20.929368691168,25.7588569204853
12-9UN3,8,6,500,23.4365113639495,27.6270057481542
12-9UN3,9,24,500,21.8071569739549,25.1301972929212
12-9UN3,10,18,500,20.4687218582563,26.2665556567508
12-9UN3,11,37,500,22.2759041074313,26.4995804293166
12-9UN3,12,13,500,21.5656643943673,26.6345700690886
12-9UN3,13,5,500,22.7650149218477,25.8691170637091
12-9UN3,14,30,500,20.2140597185228,25.9701429498812
12-9UN3,15,3,500,22.5829971445294,26.5446532508579
12-9UN3,16,32,500,20.3865149781905,22.8872140789228
12-9UN3,17,33,500,21.4027032222525,25.9832912806282
12-9UN3,18,40,500,20.8476130315391,25.4610052615828
12-9UN3,19,26,500,21.1633292969081,25.2679970615854
12-9UN3,20,21,500,21.6959317609661,27.2180632274505
12-9UN3,21,27,500,22.0124114477819,25.5591900458425
12-9UN3,22,22,500,22.7775142449609,27.3848676889785
12-9UN3,23,1,500,23.0692986687725,26.5489419096225
12-9UN3,24,12,500,23.4365101053184,27.8179710102557
12-9UN3,25,25,500,24.1895192749044,28.1434812364454
12-9UN3,26,10,500,22.353709506761,27.0670603245543
12-9UN3,27,2,500,22.1849986621161,36.0704807856145
12-9UN3,28,23,500,20.7641648330767,24.1034716724622
12-9UN3,29,39,500,21.6631101994701,26.5618037312456
12-9UN3,30,38,500,21.3654437112589,25.6813931550828
12-9UN3,31,9,500,21.4306198294664,24.6776110081583
12-9UN3,32,11,500,20.936167119549,25.5948002199152
12-9UN3,33,17,500,21.7875672734696,25.6547803052868
12-9UN3,34,20,500,20.5699795173394,23.9447152040977
12-9UN3,35,28,500,19.2874410675622,24.2165677617371
12-9UN3,36,15,500,22.1760144280677,26.6217434032501
12-9UN3,37,31,500,21.7431085993327,26.1274862181132
12-9UN3,38,4,500,21.1834933032762,24.7651123761315
13-9UOF,1,12,500,25.6447904604267,34.5650623938693
13-9UOF,2,15,500,23.5431406550114,28.5331818483823
13-9UOF,3,19,500,23.1665623644115,39.6317644546707
13-9UOF,4,10,500,19.5468955061601,34.4495867517142
13-9UOF,5,32,500,27.6032994990195,35.3724923595457
13-9UOF,6,18,500,22.9592262312207,37.0805654679824
13-9UOF,7,23,500,23.3159706960285,27.5713164791489
13-9UOF,8,13,500,25.3456006905215,36.3659650422669
13-9UOF,9,6,500,30.0225191085366,35.005274320987
13-9UOF,10,37,500,24.2693998750037,29.3959637523289
13-9UOF,11,40,500,25.8261710140513,38.3484349949725
13-9UOF,12,39,500,27.770865264459,36.677696828983
13-9UOF,13,29,500,25.4408753293847,37.4441540508153
13-9UOF,14,2,500,25.812943215741,33.642003536641
13-9UOF,15,30,500,27.0323320784398,39.1941342101983
13-9UOF,16,36,500,25.9119907675267,32.2475941113895
13-9UOF,17,7,500,26.3433780941389,37.1357905671273
13-9UOF,18,20,500,25.8404945922754,30.2266025685842
13-9UOF,19,31,500,29.4559338000531,42.1082216599867
13-9UOF,20,5,500,24.9756733103845,30.3450170979439
13-9UOF,21,11,500,26.1895056778918,30.1851420305514
13-9UOF,22,33,500,26.3022884706519,35.6386355187955
13-9UOF,23,1,500,25.3130140170353,28.2746493568667
13-9UOF,24,24,500,25.4117705104878,40.2743488364403
13-9UOF,25,26,500,26.1808071907884,30.7531014186234
13-9UOF,26,34,500,25.8515061992066,28.4652693836696
13-9UOF,27,3,500,24.902646033464,29.0825172533842
13-9UOF,28,4,500,29.1909460755699,34.523865432323
13-9UOF,29,38,500,26.2502963662781,40.9666346106327
13-9UOF,30,17,500,24.479589362775,36.5953465129733
13-9UOF,31,22,500,26.1078701673008,29.5042080671687
13-9UOF,32,14,500,19.8388453258702,30.3637705866001
13-9UOF,33,25,500,26.3746934366076,31.4287122623776
13-9UOF,34,28,500,26.8580448132157,35.9202424723757
13-9UOF,35,8,500,25.3938425414576,43.6038714697943
13-9UOF,36,21,500,25.1958025354238,36.821753206463
13-9UOF,37,27,500,25.7013323224672,36.2075205956934
13-9UOF,38,9,500,25.4341617130917,37.4760660403362
14-9UP0,1,6,500,23.3452488489631,27.167822181888
14-9UP0,2,31,500,23.3915123373655,27.4056468616237
14-9UP0,3,23,500,23.1591817385029,28.1232472261825
14-9UP0,4,14,500,24.1506594068884,27.2765608210561
14-9UP0,5,34,500,24.2811247903669,28.0766536637523
14-9UP0,6,37,500,24.5851678624592,38.9230526481322
